127.0.0.1 - - [15/Sep/2021:11:16:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:01:37 +0900] "GET /myhome/recommend?seq=18&id=test01 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:04:52 +0900] "GET /myhome/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:04:52 +0900] "GET /myhome/index HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:04:53 +0900] "GET /myhome/loginForm HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:02 +0900] "GET /myhome/login?id=test01&password=test01123 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:03 +0900] "GET /myhome/index HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:07 +0900] "GET /myhome/list HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:09 +0900] "GET /myhome/view?seq=8&start=0 HTTP/1.1" 200 5277
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:12 +0900] "GET /myhome/recommend?seq=18&id=test01 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:15 +0900] "GET /myhome/decommend?seq=18&id=test01 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:16 +0900] "GET /myhome/list HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:18 +0900] "GET /myhome/view?seq=7&start=0 HTTP/1.1" 200 3978
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:19 +0900] "GET /myhome/list HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:20 +0900] "GET /myhome/view?seq=6&start=0 HTTP/1.1" 200 3852
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:22 +0900] "GET /myhome/list HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:22 +0900] "GET /myhome/view?seq=5&start=0 HTTP/1.1" 200 5315
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:27 +0900] "GET /myhome/recommend?seq=3&id=test01 HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:28 +0900] "GET /myhome/view?seq=5 HTTP/1.1" 200 5314
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:31 +0900] "GET /myhome/recommend?seq=3&id=test01 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:34 +0900] "GET /myhome/decommend?seq=3&id=test01 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:36 +0900] "GET /myhome/decommend?seq=4&id=test01 HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:37 +0900] "GET /myhome/view?seq=5 HTTP/1.1" 200 5315
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:05:39 +0900] "GET /myhome/recommend?seq=4&id=test01 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:52:18 +0900] "GET /myhome/index HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:52:18 +0900] "GET /myhome/resources/css/basic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:52:23 +0900] "GET /myhome/list HTTP/1.1" 200 1681
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:52:24 +0900] "GET /myhome/loginForm HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:52:31 +0900] "GET /myhome/login?id=test01&password=test01123 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:52:32 +0900] "GET /myhome/index HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:52:34 +0900] "GET /myhome/list HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:52:36 +0900] "GET /myhome/view?seq=8&start=0 HTTP/1.1" 200 5645
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:52:36 +0900] "GET /myhome/resources/img/bad.png HTTP/1.1" 200 34022
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:52:36 +0900] "GET /myhome/resources/img/good.png HTTP/1.1" 200 31523
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:52:56 +0900] "GET /myhome/view?seq=8&start=0 HTTP/1.1" 200 5645
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:53:19 +0900] "GET /myhome/view?seq=8&start=0 HTTP/1.1" 200 5641
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:56:42 +0900] "GET /myhome/view?seq=8&start=0 HTTP/1.1" 200 5675
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:56:42 +0900] "GET /myhome/resources/img/good.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:56:42 +0900] "GET /myhome/resources/img/bad.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:56:53 +0900] "GET /myhome/view?seq=8&start=0 HTTP/1.1" 200 5675
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:57:01 +0900] "GET /myhome/view?seq=8&start=0 HTTP/1.1" 200 5675
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:59:31 +0900] "GET /myhome/view?seq=8&start=0 HTTP/1.1" 200 5709
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:59:47 +0900] "GET /myhome/view?seq=8&start=0 HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:00:40 +0900] "GET /myhome/view?seq=8&start=0 HTTP/1.1" 200 5712
